"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Проверка: создать пользователя и не заполнить обязательное поле password,            вернется коды 403","362","Тест регистрации пользователя без заполненного поля password","tests","Wed Aug 13 16:43:51 GMT 2025","passed","Wed Aug 13 16:43:51 GMT 2025","TestRegisterUser","test_create_user","",""
"Проверка: создать пользователя и не заполнить обязательное поле emmail","381","Тест регистрации пользователя без заполненного поля email","tests","Wed Aug 13 16:43:51 GMT 2025","passed","Wed Aug 13 16:43:51 GMT 2025","TestRegisterUser","test_create_user","",""
"Проверка: при запросе на изменени логина пользователя без авторизации, вернется код 401","356","Тест изменение логина пользователя без авторизации","tests","Wed Aug 13 16:43:58 GMT 2025","passed","Wed Aug 13 16:43:58 GMT 2025","TestRegisterUser","test_edit_user","",""
"Проверка: авторизация с неверным 'email', возвращает 401","354","Тест получения кода 401, при авторизации пользователя с неверным 'email'","tests","Wed Aug 13 16:44:04 GMT 2025","passed","Wed Aug 13 16:44:04 GMT 2025","TestRegisterUser","test_login_user","",""
"Проверка: при создании заказа с авторизацией в теле ответа вернется 200","3216","Тест возвращения кода 200 при успешном создании заказа с авторизацией","tests","Wed Aug 13 16:43:31 GMT 2025","passed","Wed Aug 13 16:43:35 GMT 2025","TestRegisterUser","test_create_order","",""
"Проверка: создать пользователя, который уже зарегистрирован","1568","Тест регистрации существующего пользователя","tests","Wed Aug 13 16:43:49 GMT 2025","passed","Wed Aug 13 16:43:51 GMT 2025","TestRegisterUser","test_create_user","",""
"Проверка: авторизация без поля 'email', возвращает 401","439","Тест получения кода 401, при авторизации пользователя с без поля 'email'","tests","Wed Aug 13 16:44:07 GMT 2025","passed","Wed Aug 13 16:44:07 GMT 2025","TestRegisterUser","test_login_user","",""
"Проверка: После изменение логина и имени пользователя,             при запросе данных, возвращается код 200","799","Тест изменение логина и имени пользователя с авторизацией","tests","Wed Aug 13 16:43:56 GMT 2025","passed","Wed Aug 13 16:43:57 GMT 2025","TestRegisterUser","test_edit_user","",""
"Проверка: при создании заказа с ингредиентами,             авторизованным пользователем, в ответе содержится id ингредиента","3113","Тест создания заказа c ингредиентами авторизованным пользователем","tests","Wed Aug 13 16:43:40 GMT 2025","passed","Wed Aug 13 16:43:43 GMT 2025","TestRegisterUser","test_create_order","",""
"Проверка: при создании заказа с авторизацией в теле ответа вернется 'success: true'","3077","Тест возвращения сообщения при успешном создании заказа с авторизацией","tests","Wed Aug 13 16:43:27 GMT 2025","passed","Wed Aug 13 16:43:30 GMT 2025","TestRegisterUser","test_create_order","",""
"Проверка: успешноое создание уникального пользователя и возвращение кода 200","1223","Тест получения кода 2000 при успешной регистрации нового пользователя","tests","Wed Aug 13 16:43:48 GMT 2025","passed","Wed Aug 13 16:43:49 GMT 2025","TestRegisterUser","test_create_user","",""
"Проверка: авторизация без пароля, возвращает 401","354","Тест получения кода 401, при авторизации пользователя без пароля","tests","Wed Aug 13 16:44:09 GMT 2025","passed","Wed Aug 13 16:44:09 GMT 2025","TestRegisterUser","test_login_user","",""
"Если не передать ни один ингредиент, вернётся код ответа 400 Bad Request","798","Тест получения ошибки, при создании заказа без ингредиентов                 авторизованным пользователем","tests","Wed Aug 13 16:43:44 GMT 2025","passed","Wed Aug 13 16:43:45 GMT 2025","TestRegisterUser","test_create_order","",""
"Проверка: После изменение имени пользователя,             при запросе данных, возвращается измененное имя","801","Тест изменение имени пользователя с авторизацией","tests","Wed Aug 13 16:43:54 GMT 2025","passed","Wed Aug 13 16:43:55 GMT 2025","TestRegisterUser","test_edit_user","",""
"При успешном подключении бэкенд вернёт максимум        50 последних заказов пользователя","1180","Тест получения заказов автризованного пользователя","tests","Wed Aug 13 16:43:59 GMT 2025","passed","Wed Aug 13 16:44:00 GMT 2025","TestRegisterUser","test_get_orders_user","",""
"Если не передать неверный хеш ингредиентов,         вернётся код ответа 500 Internal Server Error","815","Тест получения ошибки, при создании заказа с неверным хешем ингредиентов","tests","Wed Aug 13 16:43:46 GMT 2025","passed","Wed Aug 13 16:43:47 GMT 2025","TestRegisterUser","test_create_order","",""
"Проверка: логин под существующим пользователем, возвращается 200","442","Тест получения кода 200, при авторизации текущего пользователя","tests","Wed Aug 13 16:44:02 GMT 2025","passed","Wed Aug 13 16:44:02 GMT 2025","TestRegisterUser","test_login_user","",""
"Проверка: авторизация с неверным паролем, возвращает 401","436","Тест получения кода 401, при авторизации пользователя с неверным паролем","tests","Wed Aug 13 16:44:05 GMT 2025","passed","Wed Aug 13 16:44:06 GMT 2025","TestRegisterUser","test_login_user","",""
"Проверка: После изменение логина пользователя,            при запросе данных, возвращается измененный логин","799","Тест изменение логина пользователя с авторизацией","tests","Wed Aug 13 16:43:52 GMT 2025","passed","Wed Aug 13 16:43:53 GMT 2025","TestRegisterUser","test_edit_user","",""
"Проверка: при создании заказа без авторизаци в теле ответа вернется         'success: false'","2788","Тест создания заказа без авторизации","tests","Wed Aug 13 16:43:36 GMT 2025","failed","Wed Aug 13 16:43:39 GMT 2025","TestRegisterUser","test_create_order","",""
"ПЕсли выполнить запрос без авторизации, вернётся код ответа 401 Unauthorized","355","Тест получения заказов неавторизованного пользователя","tests","Wed Aug 13 16:44:01 GMT 2025","passed","Wed Aug 13 16:44:02 GMT 2025","TestRegisterUser","test_get_orders_user","",""
