"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Проверка: После изменение логина и имени пользователя,             при запросе данных, возвращается код 200","825","Тест изменение логина и имени пользователя с авторизацией","tests","Wed Aug 13 14:58:46 GMT 2025","passed","Wed Aug 13 14:58:46 GMT 2025","TestRegisterUser","test_edit_user","",""
"Проверка: при запросе на изменени логина пользователя без авторизации, вернется код 401","352","Тест изменение логина пользователя без авторизации","tests","Wed Aug 13 14:58:48 GMT 2025","passed","Wed Aug 13 14:58:48 GMT 2025","TestRegisterUser","test_edit_user","",""
"Проверка: После изменение логина пользователя,            при запросе данных, возвращается измененный логин","792","Тест изменение логина пользователя с авторизацией","tests","Wed Aug 13 14:58:42 GMT 2025","passed","Wed Aug 13 14:58:42 GMT 2025","TestRegisterUser","test_edit_user","",""
"Если не передать неверный хеш ингредиентов,         вернётся код ответа 500 Internal Server Error","798","Тест получения ошибки, при создании заказа с неверным хешем ингредиентов","tests","Wed Aug 13 14:58:36 GMT 2025","passed","Wed Aug 13 14:58:37 GMT 2025","TestRegisterUser","test_create_order","",""
"Проверка: авторизация без поля 'email', возвращает 401","436","Тест получения кода 401, при авторизации пользователя с без поля 'email'","tests","Wed Aug 13 14:58:57 GMT 2025","passed","Wed Aug 13 14:58:57 GMT 2025","TestRegisterUser","test_login_user","",""
"При успешном подключении бэкенд вернёт максимум        50 последних заказов пользователя","1133","Тест получения заказов автризованного пользователя","tests","Wed Aug 13 14:58:49 GMT 2025","passed","Wed Aug 13 14:58:50 GMT 2025","TestRegisterUser","test_get_orders_user","",""
"Проверка: авторизация с неверным 'email', возвращает 401","353","Тест получения кода 401, при авторизации пользователя с неверным 'email'","tests","Wed Aug 13 14:58:53 GMT 2025","passed","Wed Aug 13 14:58:54 GMT 2025","TestRegisterUser","test_login_user","",""
"Проверка: при создании заказа без авторизаци в теле ответа вернется         'success: false'","2797","Тест создания заказа без авторизации","tests","Wed Aug 13 14:58:26 GMT 2025","failed","Wed Aug 13 14:58:29 GMT 2025","TestRegisterUser","test_create_order","",""
"Проверка: логин под существующим пользователем, возвращается 200","439","Тест получения кода 200, при авторизации текущего пользователя","tests","Wed Aug 13 14:58:52 GMT 2025","passed","Wed Aug 13 14:58:52 GMT 2025","TestRegisterUser","test_login_user","",""
"Проверка: при создании заказа с ингредиентами,             авторизованным пользователем, в ответе содержится id ингредиента","3107","Тест создания заказа c ингредиентами авторизованным пользователем","tests","Wed Aug 13 14:58:30 GMT 2025","passed","Wed Aug 13 14:58:33 GMT 2025","TestRegisterUser","test_create_order","",""
"Проверка: создать пользователя и не заполнить обязательное поле password,            вернется коды 403","349","Тест регистрации пользователя без заполненного поля password","tests","Wed Aug 13 14:58:41 GMT 2025","passed","Wed Aug 13 14:58:41 GMT 2025","TestRegisterUser","test_create_user","",""
"Если не передать ни один ингредиент, вернётся код ответа 400 Bad Request","795","Тест получения ошибки, при создании заказа без ингредиентов                 авторизованным пользователем","tests","Wed Aug 13 14:58:34 GMT 2025","passed","Wed Aug 13 14:58:35 GMT 2025","TestRegisterUser","test_create_order","",""
"Проверка: при создании заказа с авторизацией в теле ответа вернется 200","3232","Тест возвращения кода 200 при успешном создании заказа с авторизацией","tests","Wed Aug 13 14:58:21 GMT 2025","passed","Wed Aug 13 14:58:25 GMT 2025","TestRegisterUser","test_create_order","",""
"Проверка: авторизация с неверным паролем, возвращает 401","433","Тест получения кода 401, при авторизации пользователя с неверным паролем","tests","Wed Aug 13 14:58:55 GMT 2025","passed","Wed Aug 13 14:58:55 GMT 2025","TestRegisterUser","test_login_user","",""
"Проверка: создать пользователя и не заполнить обязательное поле emmail","355","Тест регистрации пользователя без заполненного поля email","tests","Wed Aug 13 14:58:41 GMT 2025","passed","Wed Aug 13 14:58:41 GMT 2025","TestRegisterUser","test_create_user","",""
"Проверка: успешноое создание уникального пользователя и возвращение кода 200","1226","Тест получения кода 2000 при успешной регистрации нового пользователя","tests","Wed Aug 13 14:58:38 GMT 2025","passed","Wed Aug 13 14:58:39 GMT 2025","TestRegisterUser","test_create_user","",""
"Проверка: авторизация без пароля, возвращает 401","357","Тест получения кода 401, при авторизации пользователя без пароля","tests","Wed Aug 13 14:58:58 GMT 2025","passed","Wed Aug 13 14:58:59 GMT 2025","TestRegisterUser","test_login_user","",""
"ПЕсли выполнить запрос без авторизации, вернётся код ответа 401 Unauthorized","356","Тест получения заказов неавторизованного пользователя","tests","Wed Aug 13 14:58:51 GMT 2025","passed","Wed Aug 13 14:58:51 GMT 2025","TestRegisterUser","test_get_orders_user","",""
"Проверка: создать пользователя, который уже зарегистрирован","1563","Тест регистрации существующего пользователя","tests","Wed Aug 13 14:58:39 GMT 2025","passed","Wed Aug 13 14:58:41 GMT 2025","TestRegisterUser","test_create_user","",""
"Проверка: После изменение имени пользователя,             при запросе данных, возвращается измененное имя","793","Тест изменение имени пользователя с авторизацией","tests","Wed Aug 13 14:58:44 GMT 2025","passed","Wed Aug 13 14:58:44 GMT 2025","TestRegisterUser","test_edit_user","",""
"Проверка: при создании заказа с авторизацией в теле ответа вернется 'success: true'","3328","Тест возвращения сообщения при успешном создании заказа с авторизацией","tests","Wed Aug 13 14:58:17 GMT 2025","passed","Wed Aug 13 14:58:20 GMT 2025","TestRegisterUser","test_create_order","",""
