"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Проверка: После изменение логина пользователя,            при запросе данных, возвращается измененный логин","867","Тест изменение логина пользователя с авторизацией","tests","Tue Aug 05 11:26:48 GMT 2025","passed","Tue Aug 05 11:26:49 GMT 2025","TestRegisterUser","test_edit_user","",""
"ПЕсли выполнить запрос без авторизации, вернётся код ответа 401 Unauthorized","388","Тест получения заказов неавторизованного пользователя","tests","Tue Aug 05 11:26:58 GMT 2025","passed","Tue Aug 05 11:26:59 GMT 2025","TestRegisterUser","test_get_orders_user","",""
"Проверка: успешноое создание уникального пользователя и возвращение кода 200","1287","Тест получения кода 2000 при успешной регистрации нового пользователя","tests","Tue Aug 05 11:26:44 GMT 2025","passed","Tue Aug 05 11:26:45 GMT 2025","TestRegisterUser","test_create_user","",""
"Если не передать ни один ингредиент, вернётся код ответа 400 Bad Request","859","Тест получения ошибки, при создании заказа без ингредиентов                 авторизованным пользователем","tests","Tue Aug 05 11:26:40 GMT 2025","passed","Tue Aug 05 11:26:41 GMT 2025","TestRegisterUser","test_create_order","",""
"Проверка: логин под существующим пользователем, возвращается 200","477","Тест получения кода 200, при авторизации текущего пользователя","tests","Tue Aug 05 11:26:59 GMT 2025","passed","Tue Aug 05 11:27:00 GMT 2025","TestRegisterUser","test_login_user","",""
"Проверка: авторизация с неверным 'email', возвращает 401","392","Тест получения кода 401, при авторизации пользователя с неверным 'email'","tests","Tue Aug 05 11:27:01 GMT 2025","passed","Tue Aug 05 11:27:01 GMT 2025","TestRegisterUser","test_login_user","",""
"Проверка: авторизация без поля 'email', возвращает 401","472","Тест получения кода 401, при авторизации пользователя с без поля 'email'","tests","Tue Aug 05 11:27:04 GMT 2025","passed","Tue Aug 05 11:27:05 GMT 2025","TestRegisterUser","test_login_user","",""
"Проверка: при создании заказа с авторизацией в теле ответа вернется 200","3341","Тест возвращения кода 200 при успешном создании заказа с авторизацией","tests","Tue Aug 05 11:26:27 GMT 2025","passed","Tue Aug 05 11:26:30 GMT 2025","TestRegisterUser","test_create_order","",""
"Проверка: авторизация без пароля, возвращает 401","392","Тест получения кода 401, при авторизации пользователя без пароля","tests","Tue Aug 05 11:27:06 GMT 2025","passed","Tue Aug 05 11:27:06 GMT 2025","TestRegisterUser","test_login_user","",""
"Проверка: при запросе на изменени логина пользователя без авторизации, вернется код 401","388","Тест изменение логина пользователя без авторизации","tests","Tue Aug 05 11:26:55 GMT 2025","passed","Tue Aug 05 11:26:55 GMT 2025","TestRegisterUser","test_edit_user","",""
"Проверка: при создании заказа без авторизаци в теле ответа вернется         'success: false'","2779","Тест создания заказа без авторизации","tests","Tue Aug 05 11:26:31 GMT 2025","failed","Tue Aug 05 11:26:34 GMT 2025","TestRegisterUser","test_create_order","",""
"Проверка: После изменение имени пользователя,             при запросе данных, возвращается измененное имя","869","Тест изменение имени пользователя с авторизацией","tests","Tue Aug 05 11:26:50 GMT 2025","passed","Tue Aug 05 11:26:51 GMT 2025","TestRegisterUser","test_edit_user","",""
"Проверка: авторизация с неверным паролем, возвращает 401","445","Тест получения кода 401, при авторизации пользователя с неверным паролем","tests","Tue Aug 05 11:27:02 GMT 2025","passed","Tue Aug 05 11:27:03 GMT 2025","TestRegisterUser","test_login_user","",""
"Проверка: создать пользователя, который уже зарегистрирован","1694","Тест регистрации существующего пользователя","tests","Tue Aug 05 11:26:45 GMT 2025","passed","Tue Aug 05 11:26:47 GMT 2025","TestRegisterUser","test_create_user","",""
"При успешном подключении бэкенд вернёт максимум        50 последних заказов пользователя","1221","Тест получения заказов автризованного пользователя","tests","Tue Aug 05 11:26:56 GMT 2025","passed","Tue Aug 05 11:26:57 GMT 2025","TestRegisterUser","test_get_orders_user","",""
"Проверка: После изменение логина и имени пользователя,             при запросе данных, возвращается код 200","845","Тест изменение логина и имени пользователя с авторизацией","tests","Tue Aug 05 11:26:52 GMT 2025","passed","Tue Aug 05 11:26:53 GMT 2025","TestRegisterUser","test_edit_user","",""
"Если не передать неверный хеш ингредиентов,         вернётся код ответа 500 Internal Server Error","862","Тест получения ошибки, при создании заказа с неверным хешем ингредиентов","tests","Tue Aug 05 11:26:42 GMT 2025","passed","Tue Aug 05 11:26:43 GMT 2025","TestRegisterUser","test_create_order","",""
"Проверка: при создании заказа с авторизацией в теле ответа вернется 'success: true'","3339","Тест возвращения сообщения при успешном создании заказа с авторизацией","tests","Tue Aug 05 11:26:22 GMT 2025","passed","Tue Aug 05 11:26:25 GMT 2025","TestRegisterUser","test_create_order","",""
"Проверка: при создании заказа с ингредиентами,             авторизованным пользователем, в ответе содержится id ингредиента","3331","Тест создания заказа c ингредиентами авторизованным пользователем","tests","Tue Aug 05 11:26:36 GMT 2025","passed","Tue Aug 05 11:26:39 GMT 2025","TestRegisterUser","test_create_order","",""
"Проверка: создать пользователя и не заполнить обязательное поле password,            вернется коды 403","388","Тест регистрации пользователя без заполненного поля password","tests","Tue Aug 05 11:26:47 GMT 2025","passed","Tue Aug 05 11:26:48 GMT 2025","TestRegisterUser","test_create_user","",""
"Проверка: создать пользователя и не заполнить обязательное поле emmail","388","Тест регистрации пользователя без заполненного поля email","tests","Tue Aug 05 11:26:47 GMT 2025","passed","Tue Aug 05 11:26:47 GMT 2025","TestRegisterUser","test_create_user","",""
